word_id,word,tts_text,quality,voice,variant,stretch,path
0,ਊਠ,ऊठ,N,en-US-EmmaMultilingualNeural,normal,1.0,synthetic_tts_dataset\1 ਊਠ N\tts_en_US_Emma_normal.wav
0,ਊਠ,ऊठ,N,en-US-EmmaMultilingualNeural,slow,1.12,synthetic_tts_dataset\1 ਊਠ N\tts_en_US_Emma_slow.wav
0,ਊਠ,ऊठ,N,en-US-EmmaMultilingualNeural,fast,0.9,synthetic_tts_dataset\1 ਊਠ N\tts_en_US_Emma_fast.wav
0,ਊਠ,ऊठ,N,en-US-AvaMultilingualNeural,normal,1.0,synthetic_tts_dataset\1 ਊਠ N\tts_en_US_Ava_normal.wav
0,ਊਠ,ऊठ,N,en-US-AvaMultilingualNeural,slow,1.12,synthetic_tts_dataset\1 ਊਠ N\tts_en_US_Ava_slow.wav
0,ਊਠ,ऊठ,N,en-US-AvaMultilingualNeural,fast,0.9,synthetic_tts_dataset\1 ਊਠ N\tts_en_US_Ava_fast.wav
0,ਊਠ,ऊठ,N,en-US-AndrewMultilingualNeural,normal,1.0,synthetic_tts_dataset\1 ਊਠ N\tts_en_US_Andrew_normal.wav
0,ਊਠ,ऊठ,N,en-US-AndrewMultilingualNeural,slow,1.12,synthetic_tts_dataset\1 ਊਠ N\tts_en_US_Andrew_slow.wav
0,ਊਠ,ऊठ,N,en-US-AndrewMultilingualNeural,fast,0.9,synthetic_tts_dataset\1 ਊਠ N\tts_en_US_Andrew_fast.wav
0,ਊਠ,ऊठ,N,en-US-BrianMultilingualNeural,normal,1.0,synthetic_tts_dataset\1 ਊਠ N\tts_en_US_Brian_normal.wav
0,ਊਠ,ऊठ,N,en-US-BrianMultilingualNeural,slow,1.12,synthetic_tts_dataset\1 ਊਠ N\tts_en_US_Brian_slow.wav
0,ਊਠ,ऊठ,N,en-US-BrianMultilingualNeural,fast,0.9,synthetic_tts_dataset\1 ਊਠ N\tts_en_US_Brian_fast.wav
0,ਊਠ,ऊठ,N,en-AU-WilliamMultilingualNeural,normal,1.0,synthetic_tts_dataset\1 ਊਠ N\tts_en_AU_William_normal.wav
0,ਊਠ,ऊठ,N,en-AU-WilliamMultilingualNeural,slow,1.12,synthetic_tts_dataset\1 ਊਠ N\tts_en_AU_William_slow.wav
0,ਊਠ,ऊठ,N,en-AU-WilliamMultilingualNeural,fast,0.9,synthetic_tts_dataset\1 ਊਠ N\tts_en_AU_William_fast.wav
1,ਉਂਗਲ,उंगली,N,en-US-EmmaMultilingualNeural,normal,1.0,synthetic_tts_dataset\2 ਉਂਗਲ N\tts_en_US_Emma_normal.wav
1,ਉਂਗਲ,उंगली,N,en-US-EmmaMultilingualNeural,slow,1.12,synthetic_tts_dataset\2 ਉਂਗਲ N\tts_en_US_Emma_slow.wav
1,ਉਂਗਲ,उंगली,N,en-US-EmmaMultilingualNeural,fast,0.9,synthetic_tts_dataset\2 ਉਂਗਲ N\tts_en_US_Emma_fast.wav
1,ਉਂਗਲ,उंगली,N,en-US-AvaMultilingualNeural,normal,1.0,synthetic_tts_dataset\2 ਉਂਗਲ N\tts_en_US_Ava_normal.wav
1,ਉਂਗਲ,उंगली,N,en-US-AvaMultilingualNeural,slow,1.12,synthetic_tts_dataset\2 ਉਂਗਲ N\tts_en_US_Ava_slow.wav
1,ਉਂਗਲ,उंगली,N,en-US-AvaMultilingualNeural,fast,0.9,synthetic_tts_dataset\2 ਉਂਗਲ N\tts_en_US_Ava_fast.wav
1,ਉਂਗਲ,उंगली,N,en-US-AndrewMultilingualNeural,normal,1.0,synthetic_tts_dataset\2 ਉਂਗਲ N\tts_en_US_Andrew_normal.wav
1,ਉਂਗਲ,उंगली,N,en-US-AndrewMultilingualNeural,slow,1.12,synthetic_tts_dataset\2 ਉਂਗਲ N\tts_en_US_Andrew_slow.wav
1,ਉਂਗਲ,उंगली,N,en-US-AndrewMultilingualNeural,fast,0.9,synthetic_tts_dataset\2 ਉਂਗਲ N\tts_en_US_Andrew_fast.wav
1,ਉਂਗਲ,उंगली,N,en-US-BrianMultilingualNeural,normal,1.0,synthetic_tts_dataset\2 ਉਂਗਲ N\tts_en_US_Brian_normal.wav
1,ਉਂਗਲ,उंगली,N,en-US-BrianMultilingualNeural,slow,1.12,synthetic_tts_dataset\2 ਉਂਗਲ N\tts_en_US_Brian_slow.wav
1,ਉਂਗਲ,उंगली,N,en-US-BrianMultilingualNeural,fast,0.9,synthetic_tts_dataset\2 ਉਂਗਲ N\tts_en_US_Brian_fast.wav
1,ਉਂਗਲ,उंगली,N,en-AU-WilliamMultilingualNeural,normal,1.0,synthetic_tts_dataset\2 ਉਂਗਲ N\tts_en_AU_William_normal.wav
1,ਉਂਗਲ,उंगली,N,en-AU-WilliamMultilingualNeural,slow,1.12,synthetic_tts_dataset\2 ਉਂਗਲ N\tts_en_AU_William_slow.wav
1,ਉਂਗਲ,उंगली,N,en-AU-WilliamMultilingualNeural,fast,0.9,synthetic_tts_dataset\2 ਉਂਗਲ N\tts_en_AU_William_fast.wav
2,ਅੱਖ,आंख,N,en-US-EmmaMultilingualNeural,normal,1.0,synthetic_tts_dataset\3 ਅੱਖ N\tts_en_US_Emma_normal.wav
2,ਅੱਖ,आंख,N,en-US-EmmaMultilingualNeural,slow,1.12,synthetic_tts_dataset\3 ਅੱਖ N\tts_en_US_Emma_slow.wav
2,ਅੱਖ,आंख,N,en-US-EmmaMultilingualNeural,fast,0.9,synthetic_tts_dataset\3 ਅੱਖ N\tts_en_US_Emma_fast.wav
2,ਅੱਖ,आंख,N,en-US-AvaMultilingualNeural,normal,1.0,synthetic_tts_dataset\3 ਅੱਖ N\tts_en_US_Ava_normal.wav
2,ਅੱਖ,आंख,N,en-US-AvaMultilingualNeural,slow,1.12,synthetic_tts_dataset\3 ਅੱਖ N\tts_en_US_Ava_slow.wav
2,ਅੱਖ,आंख,N,en-US-AvaMultilingualNeural,fast,0.9,synthetic_tts_dataset\3 ਅੱਖ N\tts_en_US_Ava_fast.wav
2,ਅੱਖ,आंख,N,en-US-AndrewMultilingualNeural,normal,1.0,synthetic_tts_dataset\3 ਅੱਖ N\tts_en_US_Andrew_normal.wav
2,ਅੱਖ,आंख,N,en-US-AndrewMultilingualNeural,slow,1.12,synthetic_tts_dataset\3 ਅੱਖ N\tts_en_US_Andrew_slow.wav
2,ਅੱਖ,आंख,N,en-US-AndrewMultilingualNeural,fast,0.9,synthetic_tts_dataset\3 ਅੱਖ N\tts_en_US_Andrew_fast.wav
2,ਅੱਖ,आंख,N,en-US-BrianMultilingualNeural,normal,1.0,synthetic_tts_dataset\3 ਅੱਖ N\tts_en_US_Brian_normal.wav
2,ਅੱਖ,आंख,N,en-US-BrianMultilingualNeural,slow,1.12,synthetic_tts_dataset\3 ਅੱਖ N\tts_en_US_Brian_slow.wav
